Başlangıç Sıcaklığı (Kelvin)  Bitiş Sıcaklığı (Kelvin)      Gerekli Enerji Miktarı (Joule)

300                           301                           3.853097e+05                  
301                           302                           3.854956e+05                  
302                           303                           3.856806e+05                  
303                           304                           3.858645e+05                  
304                           305                           3.860474e+05                  
305                           306                           3.862294e+05                  
306                           307                           3.864105e+05                  
307                           308                           3.865905e+05                  
308                           309                           3.867697e+05                  
309                           310                           3.869479e+05                  
310                           311                           3.871252e+05                  
311                           312                           3.873016e+05                  
312                           313                           3.874771e+05                  
313                           314                           3.876517e+05                  
314                           315                           3.878255e+05                  
315                           316                           3.879984e+05                  
316                           317                           3.881705e+05                  
317                           318                           3.883417e+05                  
318                           319                           3.885121e+05                  
319                           320                           3.886817e+05                  
320                           321                           3.888504e+05                  
321                           322                           3.890184e+05                  
322                           323                           3.891856e+05                  
323                           324                           3.893520e+05                  
324                           325                           3.895177e+05                  
325                           326                           3.896826e+05                  
326                           327                           3.898467e+05                  
327                           328                           3.900101e+05                  
328                           329                           3.901727e+05                  
329                           330                           3.903347e+05                  
330                           331                           3.904959e+05                  
331                           332                           3.906564e+05                  
332                           333                           3.908162e+05                  
333                           334                           3.909753e+05                  
334                           335                           3.911338e+05                  
335                           336                           3.912916e+05                  
336                           337                           3.914486e+05                  
337                           338                           3.916051e+05                  
338                           339                           3.917609e+05                  
339                           340                           3.919160e+05                  
340                           341                           3.920705e+05                  
341                           342                           3.922244e+05                  
342                           343                           3.923776e+05                  
343                           344                           3.925303e+05                  
344                           345                           3.926823e+05                  
345                           346                           3.928337e+05                  
346                           347                           3.929845e+05                  
347                           348                           3.931347e+05                  
348                           349                           3.932844e+05                  
349                           350                           3.934335e+05                  
350                           351                           3.935820e+05                  
351                           352                           3.937299e+05                  
352                           353                           3.938773e+05                  
353                           354                           3.940241e+05                  
354                           355                           3.941704e+05                  
355                           356                           3.943162e+05                  
356                           357                           3.944614e+05                  
357                           358                           3.946061e+05                  
358                           359                           3.947502e+05                  
359                           360                           3.948939e+05                  
360                           361                           3.950370e+05                  
361                           362                           3.951796e+05                  
362                           363                           3.953218e+05                  
363                           364                           3.954634e+05                  
364                           365                           3.956045e+05                  
365                           366                           3.957452e+05                  
366                           367                           3.958854e+05                  
367                           368                           3.960251e+05                  
368                           369                           3.961643e+05                  
369                           370                           3.963031e+05                  
370                           371                           3.964414e+05                  
371                           372                           3.965792e+05                  
372                           373                           3.967167e+05                  
373                           374                           3.968536e+05                  
374                           375                           3.969901e+05                  
375                           376                           3.971262e+05                  
376                           377                           3.972619e+05                  
377                           378                           3.973971e+05                  
378                           379                           3.975319e+05                  
379                           380                           3.976663e+05                  
380                           381                           3.978002e+05                  
381                           382                           3.979338e+05                  
382                           383                           3.980669e+05                  
383                           384                           3.981997e+05                  
384                           385                           3.983320e+05                  
385                           386                           3.984640e+05                  
386                           387                           3.985956e+05                  
387                           388                           3.987267e+05                  
388                           389                           3.988575e+05                  
389                           390                           3.989880e+05                  
390                           391                           3.991180e+05                  
391                           392                           3.992477e+05                  
392                           393                           3.993770e+05                  
393                           394                           3.995059e+05                  
394                           395                           3.996345e+05                  
395                           396                           3.997627e+05                  
396                           397                           3.998906e+05                  
397                           398                           4.000181e+05                  
398                           399                           4.001453e+05                  
399                           400                           4.002721e+05                  
400                           401                           4.003986e+05                  
401                           402                           4.005248e+05                  
402                           403                           4.006506e+05                  
403                           404                           4.007761e+05                  
404                           405                           4.009013e+05                  
405                           406                           4.010261e+05                  
406                           407                           4.011506e+05                  
407                           408                           4.012748e+05                  
408                           409                           4.013987e+05                  
409                           410                           4.015223e+05                  
410                           411                           4.016456e+05                  
411                           412                           4.017685e+05                  
412                           413                           4.018912e+05                  
413                           414                           4.020135e+05                  
414                           415                           4.021356e+05                  
415                           416                           4.022574e+05                  
416                           417                           4.023789e+05                  
417                           418                           4.025001e+05                  
418                           419                           4.026210e+05                  
419                           420                           4.027416e+05                  
420                           421                           4.028619e+05                  
421                           422                           4.029820e+05                  
422                           423                           4.031018e+05                  
423                           424                           4.032213e+05                  
424                           425                           4.033405e+05                  
425                           426                           4.034595e+05                  
426                           427                           4.035782e+05                  
427                           428                           4.036967e+05                  
428                           429                           4.038149e+05                  
429                           430                           4.039328e+05                  
430                           431                           4.040505e+05                  
431                           432                           4.041679e+05                  
432                           433                           4.042851e+05                  
433                           434                           4.044020e+05                  
434                           435                           4.045187e+05                  
435                           436                           4.046351e+05                  
436                           437                           4.047513e+05                  
437                           438                           4.048672e+05                  
438                           439                           4.049830e+05                  
439                           440                           4.050984e+05                  
440                           441                           4.052137e+05                  
441                           442                           4.053287e+05                  
442                           443                           4.054435e+05                  
443                           444                           4.055580e+05                  
444                           445                           4.056724e+05                  
445                           446                           4.057865e+05                  
446                           447                           4.059004e+05                  
447                           448                           4.060140e+05                  
448                           449                           4.061275e+05                  
449                           450                           4.062407e+05                  
450                           451                           4.063537e+05                  
451                           452                           4.064666e+05                  
452                           453                           4.065792e+05                  
453                           454                           4.066915e+05                  
454                           455                           4.068037e+05                  
455                           456                           4.069157e+05                  
456                           457                           4.070275e+05                  
457                           458                           4.071391e+05                  
458                           459                           4.072505e+05                  
459                           460                           4.073617e+05                  
460                           461                           4.074727e+05                  
461                           462                           4.075835e+05                  
462                           463                           4.076941e+05                  
463                           464                           4.078045e+05                  
464                           465                           4.079147e+05                  
465                           466                           4.080248e+05                  
466                           467                           4.081346e+05                  
467                           468                           4.082443e+05                  
468                           469                           4.083538e+05                  
469                           470                           4.084631e+05                  
470                           471                           4.085722e+05                  
471                           472                           4.086812e+05                  
472                           473                           4.087900e+05                  
473                           474                           4.088986e+05                  
474                           475                           4.090070e+05                  
475                           476                           4.091153e+05                  
476                           477                           4.092234e+05                  
477                           478                           4.093313e+05                  
478                           479                           4.094391e+05                  
479                           480                           4.095467e+05                  
480                           481                           4.096541e+05                  
481                           482                           4.097614e+05                  
482                           483                           4.098685e+05                  
483                           484                           4.099754e+05                  
484                           485                           4.100822e+05                  
485                           486                           4.101888e+05                  
486                           487                           4.102953e+05                  
487                           488                           4.104017e+05                  
488                           489                           4.105078e+05                  
489                           490                           4.106139e+05                  
490                           491                           4.107197e+05                  
491                           492                           4.108254e+05                  
492                           493                           4.109310e+05                  
493                           494                           4.110365e+05                  
494                           495                           4.111417e+05                  
495                           496                           4.112469e+05                  
496                           497                           4.113519e+05                  
497                           498                           4.114568e+05                  
498                           499                           4.115615e+05                  
499                           500                           4.116661e+05                  
500                           501                           4.117705e+05                  
501                           502                           4.118748e+05                  
502                           503                           4.119790e+05                  
503                           504                           4.120830e+05                  
504                           505                           4.121869e+05                  
505                           506                           4.122907e+05                  
506                           507                           4.123943e+05                  
507                           508                           4.124979e+05                  
508                           509                           4.126012e+05                  
509                           510                           4.127045e+05                  
510                           511                           4.128076e+05                  
511                           512                           4.129107e+05                  
512                           513                           4.130135e+05                  
513                           514                           4.131163e+05                  
514                           515                           4.132189e+05                  
515                           516                           4.133215e+05                  
516                           517                           4.134239e+05                  
517                           518                           4.135262e+05                  
518                           519                           4.136283e+05                  
519                           520                           4.137304e+05                  
520                           521                           4.138323e+05                  
521                           522                           4.139341e+05                  
522                           523                           4.140358e+05                  
523                           524                           4.141374e+05                  
524                           525                           4.142389e+05                  
525                           526                           4.143403e+05                  
526                           527                           4.144415e+05                  
527                           528                           4.145427e+05                  
528                           529                           4.146437e+05                  
529                           530                           4.147447e+05                  
530                           531                           4.148455e+05                  
531                           532                           4.149462e+05                  
532                           533                           4.150469e+05                  
533                           534                           4.151474e+05                  
534                           535                           4.152478e+05                  
535                           536                           4.153481e+05                  
536                           537                           4.154484e+05                  
537                           538                           4.155485e+05                  
538                           539                           4.156485e+05                  
539                           540                           4.157484e+05                  
540                           541                           4.158483e+05                  
541                           542                           4.159480e+05                  
542                           543                           4.160476e+05                  
543                           544                           4.161472e+05                  
544                           545                           4.162466e+05                  
545                           546                           4.163460e+05                  
546                           547                           4.164453e+05                  
547                           548                           4.165444e+05                  
548                           549                           4.166435e+05                  
549                           550                           4.167425e+05                  
550                           551                           4.168414e+05                  
551                           552                           4.169403e+05                  
552                           553                           4.170390e+05                  
553                           554                           4.171376e+05                  
554                           555                           4.172362e+05                  
555                           556                           4.173347e+05                  
556                           557                           4.174331e+05                  
557                           558                           4.175314e+05                  
558                           559                           4.176296e+05                  
559                           560                           4.177278e+05                  
560                           561                           4.178259e+05                  
561                           562                           4.179238e+05                  
562                           563                           4.180218e+05                  
563                           564                           4.181196e+05                  
564                           565                           4.182174e+05                  
