TAKSIT NO           TAKSIT TUTARI       FAIZ                BSMW TUTARI         KKDD TUTARI         ODENEN ANA PARA     KALAN ANA PARA      

1                   35783.109           15000.000           750.000             2250.000            17783.109           282216.891          
2                   35783.109           14110.845           705.542             2116.627            18850.095           263366.796          
3                   35783.109           13168.340           658.417             1975.251            19981.101           243385.695          
4                   35783.109           12169.285           608.464             1825.393            21179.967           222205.728          
5                   35783.109           11110.286           555.514             1666.543            22450.765           199754.962          
6                   35783.109           9987.748            499.387             1498.162            23797.811           175957.151          
7                   35783.109           8797.858            439.893             1319.679            25225.680           150731.472          
8                   35783.109           7536.574            376.829             1130.486            26739.221           123992.251          
9                   35783.109           6199.613            309.981             929.942             28343.574           95648.677           
10                  35783.109           4782.434            239.122             717.365             30044.188           65604.489           
11                  35783.109           3280.224            164.011             492.034             31846.839           33757.650           
12                  35783.109           1687.882            84.394              253.182             33757.650           0.000               


NaN                 429397.306          107831.088          5391.554            16174.663           300000.000          NaN                 
